iso2_code;year;developers;software_eci_2020;trade_eci_2020;tech_eci_2020;research_eci_2020;iso3_code;pop_o;gdp_o;gdpcap_o;gdp_ppp_o;gdpcap_ppp_o;gini_mean;country;emissions;nat_res
NE;2020;1299;;-0.713520702;;-0.9267376344;NER;24206.636;13741378.45;0.568;31181863.188;1.288;34.36666666666667;;;
NG;2020;216070;-0.3001241519496524;-1.6669383483;-1.620948696;0.05439766134;NGA;206139.587;432293776.262;2.097;1069037544.836;5.186;35.55;NGA;5.765949322;5.585245498
NI;2020;13659;-0.7229954153152663;-1.0721705238;;-0.926958443;NIC;6624.554;12586941.393;1.9;36924394.383;5.574;46.2;;;
NL;2020;619446;1.903363520482824;1.1131681267;0.9933022154;2.151519776;NLD;17441.5;913865395.79;52.396;1033703786.007;59.267;28.21;NLD;5.162078005;9.39709922
NO;2020;173333;1.5502040626798297;0.7055511594;1.353590765;1.707211296;NOR;5379.475;362198318.435;67.33;336996381.517;62.645;26.82;NOR;4.923935337;9.704546201
NP;2020;82790;-0.3580184305642144;;;;NPL;29136.808;33433670.512;1.147;116450074.441;3.997;32.8;;;
NZ;2020;154506;1.07057898572225;0.4459943229;0.9406917333;1.730956709;NZL;5090.2;211734532.308;41.597;227316999.814;44.658;;NZL;5.948466903;8.80830587
OM;2020;16374;-0.7676128390766916;-0.2054639656;-1.09516868;-0.8983563127;OMN;5106.622;73971391.417;14.485;158906626.092;31.118;;OMN;6.453656386;8.881528269
PA;2020;20433;-0.6794136352936324;0.2285152043;0.407165779;0.2914726585;PAN;4314.768;53977037.0;12.51;115550784.074;26.78;50.67;PAN;4.960273201;6.670049518
PE;2020;181027;-0.0111304765048023;-0.6856256526;0.4155807602;0.2244626238;PER;32971.848;201705055.939;6.117;392630743.564;11.908;43.589999999999996;PER;5.479026839;7.164827417
PF;2020;1596;;;;;PYF;280.904;5669368.717;20.183;;;;;;
PG;2020;1950;;-1.7764357938;;-0.5353364697;PNG;8947.027;24667052.023;2.757;38344859.419;4.286;;;;
PH;2020;485523;-0.0605315139997531;0.5648218585;-0.09101860954;-0.1744926792;PHL;109581.085;361751116.293;3.301;919850174.368;8.394;44.46666666666666;PHL;5.525419289;5.116971595
PK;2020;372277;-0.1027128885142512;-0.6781479507;-1.000128226;-0.3597074241;PAK;;;;;;29.78;PAK;5.932103319;3.768123747
PK;2020;372277;-0.1027128885142512;-0.6781479507;-1.000128226;-0.3597074241;PAK;220892.334;300306331.698;1.36;1198566159.002;5.426;29.78;PAK;5.932103319;3.768123747
PL;2020;587255;1.8325360006461064;1.041319905;1.084239342;0.5236730893;POL;37899.071;596624355.72;15.742;1299444847.808;34.287;31.7;POL;5.665302468;7.762628931
PR;2020;21855;-0.5286390849222699;;;;PRI;3281.538;103138300.0;31.43;112667496.277;34.334;;;;
PS;2020;30114;-0.6357582897052623;;;;PSE;4803.269;15531700.0;3.234;27371005.984;5.698;34.46666666666666;;;
PT;2020;191738;1.2385840422261465;0.466875043;0.8899932655;1.051006249;PRT;10297.081;228539245.045;22.195;351924219.906;34.177;35.07;PRT;5.1749923;7.814154689
PW;2020;111;;;;;PLW;18.092;257700.0;14.244;295237.54;16.319;;;;
PY;2020;17219;-0.6794136352936324;-0.4216245041;;-1.152204217;PRY;7132.53;35432178.068;4.968;92970506.797;13.035;48.519999999999996;;;
QA;2020;22043;-0.773705514587408;-0.0465654555;-0.882522461;-0.008475405941;QAT;2881.06;144411363.345;50.124;259184286.83;89.961;;QAT;6.170090086;10.00091754
RE;2020;6776;-0.899640597520995;;;;REU;;;;;;;;;
RO;2020;243248;1.240934068276834;1.0285805813;0.5168790308;-0.1574285488;ROU;19257.521;249511333.648;12.957;620134677.23;32.202;35.77;ROU;5.176460367;7.010936466
RS;2020;106995;-0.1344165671041445;0.6789342595;-0.160058951;-0.09814751156;SRB;6899.126;53335016.425;7.731;131731603.498;19.094;38.1125;SRB;6.210504787;7.155290391
RU;2020;1462993;1.872980813577632;0.4905980089;1.180461406;0.2199244092;RUS;144073.135;1488321875.49;10.33;4381493397.729;29.916;38.76;RUS;6.41842872;7.769801826
RW;2020;11190;-0.5779191763404539;;;;RWA;12952.209;10184345.442;0.786;28670603.112;2.214;45.333333333333336;;;
SA;2020;201725;-0.209851942593985;0.8778457416;0.9088340257;-0.1420851963;SAU;34813.866;703367841.223;20.204;1628533458.01;46.778;;SAU;6.070240366;8.535394533
SB;2020;243;;;;;SLB;686.878;1545888.426;2.251;1798468.948;2.618;37.1;;;
SC;2020;889;;;;;SYC;98.462;1200634.489;12.194;2790312.368;28.339;39.45;;;
SD;2020;13085;-0.7582953588709215;-1.3112129487;-1.279031177;-1.337561554;SDN;;;;;;34.2;SDN;6.400739041;4.550004753
SD;2020;13085;-0.7582953588709215;-1.3112129487;-1.279031177;-1.337561554;SDN;43849.27;26987563.444;0.615;181628528.72;4.142;34.2;SDN;6.400739041;4.550004753
SE;2020;349577;1.887299786079672;1.596517604;1.55140966;1.882375224;SWE;10353.442;541487151.475;52.3;570111093.189;55.065;28.7;SWE;4.46689371;8.651277484
SG;2020;351543;1.462661604894663;1.8239169138;0.6484544356;0.367641436;SGP;5685.807;345295933.899;60.729;566768600.05;99.681;;SGP;4.761986363;9.608109728
SI;2020;41744;0.5306311546073179;1.4582307257;0.9391228876;0.1187119189;SVN;2102.419;53589609.581;25.49;83519139.71;39.725;25.07;SVN;5.320919824;8.538986359
SK;2020;62468;0.6123890126107341;1.3323183668;0.6352214186;-0.3831029244;SVK;5458.827;105172564.492;19.267;171169481.096;31.356;25.72;SVK;5.400159612;8.178440433
SL;2020;2242;;;;-0.3329579338;SLE;7976.985;4063289.45;0.509;13775967.174;1.727;34.85;;;
SM;2020;411;;;;;SMR;33.938;1544713.785;45.516;2021751.373;59.572;;;;
SN;2020;15892;-0.3991059790172075;-0.6965856289;-1.063301418;-0.3742896718;SEN;16743.931;24493157.583;1.463;58663949.709;3.504;39.3;SEN;6.307034382;5.327378292
SO;2020;6379;-1.2451530358886562;;;;SOM;15893.219;6965285.325;0.438;19797265.599;1.246;;;;
SR;2020;1981;;;;;SUR;586.634;2884248.048;4.917;9816371.214;16.733;;;;
SS;2020;330;;;;;SSD;11193.729;;;;;44.1;;;
ST;2020;150;;;;;STP;219.161;472914.47;2.158;936583.091;4.273;35.75;;;
SV;2020;30236;-0.4737532185004494;-0.1491689851;;-1.377008374;SLV;6486.201;24638720.0;3.799;54612511.534;8.42;40.86;;;
SX;2020;323;;;;;SXM;42.31;;;;;;;;
SY;2020;16766;-0.6482542787850566;;;-2.007208532;SYR;17500.656;;;;;;;;
SZ;2020;1206;;;;;SWZ;1160.164;3984840.58;3.435;10284873.742;8.865;54.6;;;
