iso2_code;language;exit01;consider00;pci;ubiquity;rca01;density
BO;Java;0;1;-0.6507630317877583;71.0;1.0;0.425973249161186
BO;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.5683571478036058
BO;Kotlin;0;1;-0.3724228316395753;56.0;1.0;0.4199104322863381
BO;Objective-C;0;1;0.1124218654706702;45.0;1.0;0.2529331738205816
BO;PHP;0;1;-0.7076885850632202;95.0;1.0;0.4602670029789408
BO;SCSS;0;1;-0.6453042817682486;90.0;1.0;0.4505583066476619
BO;Swift;0;1;-0.3891974708374764;48.0;1.0;0.3989377551211086
BO;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.323878368298977
BO;Vue;0;1;-0.5836902257250292;48.0;1.0;0.4532645689348153
BR;Blade;0;1;-0.4606071616066987;54.0;1.0;0.469380508279489
BR;Brainfuck;1;0;1.9797136505626385;7.0;0.0;0.2346100158327953
BR;C#;0;1;0.0188258694979645;68.0;1.0;0.3390721976733156
BR;CSS;0;1;-1.2027521866672362;108.0;1.0;0.6202096425260122
BR;Dart;0;1;-0.6261940594326862;37.0;1.0;0.5251572820482383
BR;Elixir;0;1;2.1668589415075346;19.0;1.0;0.1491671932605215
BR;GDScript;0;1;2.355702883327979;9.0;1.0;0.1745546776630555
BR;Gherkin;1;0;1.6722234608574271;27.0;0.0;0.1684641299908029
BR;HTML;0;1;-1.301666052482916;116.0;1.0;0.6125373134328358
BR;Hack;0;1;-0.4422427712823875;53.0;1.0;0.4590831063364458
BR;Handlebars;0;1;0.5818876464806688;36.0;1.0;0.2845205874961567
BR;Java;0;1;-0.6507630317877583;71.0;1.0;0.4602527001045592
BR;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.5747835922531798
BR;Kotlin;0;1;-0.3724228316395753;56.0;1.0;0.4564445817959384
BR;Objective-C;0;1;0.1124218654706702;45.0;1.0;0.3099937987957854
BR;PHP;0;1;-0.7076885850632202;95.0;1.0;0.4746983665356536
BR;Pascal;0;1;2.1532211624772746;21.0;1.0;0.1403295070934506
BR;PureBasic;1;0;2.206239704054485;12.0;0.0;0.1699091852153252
BR;Sass;0;1;1.316775834063194;30.0;1.0;0.18418409667523
BR;Swift;0;1;-0.3891974708374764;48.0;1.0;0.4490836935340856
BR;TSQL;0;1;-0.3714486086470449;61.0;1.0;0.4384925197943607
BR;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.3632143475713111
BR;VHDL;0;1;2.1279930246775316;12.0;1.0;0.1621832087316308
BW;HTML;0;1;-1.301666052482916;116.0;1.0;0.0692537313432835
BY;C#;0;1;0.0188258694979645;68.0;1.0;0.3623369323947895
BY;CSS;0;1;-1.2027521866672362;108.0;1.0;0.5492665161701626
BY;Gherkin;0;1;1.6722234608574271;27.0;1.0;0.220470685752057
BY;Groovy;0;1;2.0436612163259795;28.0;1.0;0.1914921937023117
BY;HLSL;0;1;1.4017091273836253;36.0;1.0;0.236596932341319
BY;HTML;0;1;-1.301666052482916;116.0;1.0;0.5426865671641791
BY;Java;0;1;-0.6507630317877583;71.0;1.0;0.4398943388517747
BY;JavaScript;0;1;-1.0672091966498596;113.0;1.0;0.5190877403568709
BY;Kotlin;0;1;-0.3724228316395753;56.0;1.0;0.4092886770310549
BY;Less;0;1;-0.3227488476815796;44.0;1.0;0.413796311808284
BY;Pascal;0;1;2.1532211624772746;21.0;1.0;0.1651542433613581
BY;QMake;0;1;1.6760892951882356;23.0;1.0;0.2169065340120351
BY;SCSS;0;1;-0.6453042817682486;90.0;1.0;0.4254371084377812
BY;Sass;0;1;1.316775834063194;30.0;1.0;0.23045312737392
BY;ShaderLab;0;1;1.3220172511797768;33.0;1.0;0.2362482735001974
BY;Swift;0;1;-0.3891974708374764;48.0;1.0;0.3861702453475845
BY;TSQL;0;1;-0.3714486086470449;61.0;1.0;0.4132838822661234
BY;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.3782956981308444
CA;ANTLR;0;1;2.3351594763290353;17.0;1.0;0.8350531223543427
CA;AppleScript;0;1;2.5933044279988047;9.0;1.0;0.8475946559872997
CA;Assembly;0;1;1.9556408637492584;32.0;1.0;0.8149413317178579
CA;AutoHotkey;0;1;2.5988168285225486;10.0;1.0;0.8606296587604951
CA;Awk;0;1;2.168861430987413;27.0;1.0;0.8199320871352398
CA;Batchfile;0;1;1.7471843555744355;36.0;1.0;0.8076383524095361
CA;C#;0;1;0.0188258694979645;68.0;1.0;0.6544029221462908
CA;C++;1;0;1.178963277107531;36.0;0.0;0.792249100542162
